text,label
Blessing in disguise. Ballmer feels lucky #Microsoft didn't buy #Yahoo in 2008 http://t.co/2Acd5GOz #business,neutral
Love the #Microsoft campus!  Love the feeling of the mixer building.  Thanks #vslive bringing the conference here!,positive
"RT @vandillenpek: It's taken nearly two decades, but today I was finally able to take this shot. Yes, that's Beijing's skyline taken from t…",negative
#microsoft says #android is too complex.  Interesting - from a user angle contrast #windows with #macos for a comparison.http://goo.gl/Wu3Zm,neutral
Video: SIRI also gets angry. http://t.co/Ku288WX6  @chrisvoss @apple #apple #siri #iphone4S #Ai,neutral
#Facebook Y #Twitter Off xd,neutral
"As far as I can tell, Google engineer Steve Yegge never intended to become famous for criticizing the c... http://t.co/SO1rCq0y #Google+",neutral
#Microsoft builds a functioning ‘holodesk’ to interact with digital items http://t.co/otvmQxJ2,neutral
Recent study of #Google CTR reveals that top three positions in #GoogleSearch receive 35% of traffic.... http://t.co/IHts3PyW,neutral
#Silver &#GOLD #Apple tumbles no matter how many sold #Microsoft buys them 4 a nice price so get in there show #justsayin #Droid rules inend,neutral
Actress Rey; cinematographer Ben (with director Snoke and producer Palpatine). They fall in love while making a mov… https://t.co/85Lmqyzz68,positive
"Hey @apple, androids releasing brand new state of the art phones, whens your new phone come out? What's that? (cont) http://t.co/2sko9l3d",neutral
WOW the new #Google #Nexus is just beautiful. totally gonna boost google's market share in the smart phone market.,positive
RT @InternetBH: Microsoft finalises Skype deal - IT Business - News & Features - http://t.co/F9b14RY3: http://t.co/275l0zay #skype #Micr ...,neutral
"""Il colpo di genio è stato iTunes non l'iPod in sé"". Quello che #Google e #Samsung non possono capire, tanto meno #Microsoft #sapevatelo",irrelevant
"RT @chucklesbts: ""lajimolala"" ""rrrrrap monster"" ""rock bison"" ""happy birthday bro"" bts literally have like 5 inside jokes but they never let…",positive
@alegarcia001. Feliz aniversario !!! Que sean muy felices juntos y que cumplan muchos años mas !!!! Jajaja #twitter,irrelevant
I promise this iPhone been at 1% battery for the last 3 hours. I see you @apple.,neutral
Android 4.0 SDK now available #google #android http://t.co/dB2Rzsu5 #neowin,neutral
#twitter OFF&lt;3,neutral
RT @PhallicDaddy: Trust in the Lord and do good; dwell in the land and enjoy safe pasture. https://t.co/yt1cB4fRju,positive
the marijuana loud so the hoes follow like #Twitter,neutral
"""Não sou viciada em dorgas nem em alcool mais sou no #Twitter fato""",irrelevant
#Microsoft se réjouit d’avoir loupé le rachat de #Yahoo!,irrelevant
A Web service developed by #Microsoft Research lets people curate their own personal history | http://t.co/TYAdzHQx,neutral
There is a chance? #Microsoft and #Mobile http://t.co/p4ChgGwg,neutral
"@WIREDInsider beautiful, yes. though it simply reminds me of @apple's spinning wheel of death. clock, reinvented: http://t.co/tJcJAqfl",neutral
#Twitter I apologize 4 being out of line regardless what sum1 does  I promise 2 remain humble keep it from public eye!iloveya#HennessyNation,neutral
Crazy how fast people forget that Nate Green scummed an Xbox off his friends for free. Please run this story @TuckerCarlson,positive
"Slick beam capabilities included in Android 4.0. Touch 2 devices together and select ""Beam"" and content is transferred #Google #Android #ICS",positive
Bouquet for Jobs @Apple Store Nagoya http://t.co/pmEcxPug,neutral
@Tita_Ramos #Google it =),positive
Buenas noches para todos felices sueños muuaahhzz!!! gunaiiii #twitter,irrelevant
iPhone 4S: Setup SIRI for your Tweets. http://t.co/ws7LINTS @apple #apple #iphone #siri,neutral
#Microsoft's #Ballmer touts #Bing; analysts still wary about its future - http://t.co/jvQWzHkd &lt;- siehe mein Blog dazu: http://t.co/pLwVE1Iy,irrelevant
@MauroGarcia92 dale ok..!solo #twitter !!,neutral
to reiniciando meu computador. ó as idéia @apple,irrelevant
M'kiite #twitter Off,neutral
@Notre4Dame @apple haha no fuck that its still took sux and a half hours and i have to be up at 7,irrelevant
Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise,negative
Newt Gingrich: #NewtGingrich  #Newt #Gingrich http://t.co/bZQS2pV3 #google #youtube,irrelevant
Three UK to carry Samsung Galaxy Nexus http://t.co/SwvAcbxC  #android #google,neutral
#Android #Google Samsung and Google introduce GALAXY Nexus http://t.co/KkuepMVW #DhilipSiva,neutral
#wendywilliams just said she was a woman bitch please stop lien on #twitter and on #nationaltv we all know your a man,neutral
"RT ""@RobyQQ: Your #Twitter followers either like you for your sense of humor or sex appeal."" -- I guess, I'm funny then... LOL!",neutral
"People that do this "" #This #Is #My #Twitter "" and pound everything. Needs to delete their Twitter.",neutral
@Brittjje #MICROSOFT,neutral
GoodNight #Twitter:),neutral
"@MercilessMercy2 Are you sure ozo is the content for nengi? Cause I am pretty sure without nengi,ozo is contentless",positive
"#ICS introduces Facial recognition to unlock phone, however - the demo didn't go as planned.http://engt.co/q2KeC7 #Google Goof up! #Android",negative
Like to get my hands on an ice cream sandwich #android #google,neutral
#Twitter Of,neutral
"I hate you @apple for not sending Toledo,oh @bestbuy any @iPhone for @verizon even after I pre ordered!!!",negative
a dormir #twitter off,irrelevant
"CNET » #Microsoft #OmniTouch allows multitouch input on arbitrary, everyday surfaces » http://t.co/PbwdSTmb http://t.co/0D4xV6D3",neutral
Data usage in ICS.. Looks like I don't need Watchdog 3G Pro anymore.. hah! #Android #ICS #Google,positive
Feliz por mi nombramiento #Microsoft Student Partner Nicaragua :D a trabajar por el desarrollo tecnológico de nuestra patria Nicaragua #fb,irrelevant
"#Microsoft’s Ballmer: Android phones are boring, overcomplicated http://t.co/xyM8fxD0 via @BGR",neutral
"Hey @twitter and @apple, this is pretty dumb. http://t.co/kubkPO0T",neutral
"Cuando no tengo nada que  hacer #twitter, cuando estoy haciendo tareas #twitter, cuando estoy en #twitter no hago NADA",irrelevant
"Twitter intègré dans ios5, mais le correcteur français ne connaît pas ce mot et propose titrer... Peut mieux faire comme intégration @Apple",irrelevant
coming back soon!!!! #twitter...,neutral
RT @TechHamlet: Thank You Steve : A Song Created for Steve Jobs http://t.co/2vtX8ZJf via @TechHamlet @AzRmusic @Apple #stevejobs #apple,neutral
Man i love #Twitter!!,neutral
"Für alle Agenturen, die #Google #AdWords für ihre Kunden betreuen ... #Google #Engage - die Agenturen-Plattform: http://t.co/7RGu5aSl",irrelevant
wait.... since when does putting honeycomb and gingerbread together make ice cream sandwich? #google ...,neutral
definitivamente sigo sin entender un carajo de #Google+,irrelevant
RT @ErinEARoss: There has been one arrest for alleged arson in the Almeda fire near Medford. The arson occurred after the fire was already…,negative
@IDrawCharts Met one of my best friend with same kind of conversation from tinder she was trading FX and China stoc… https://t.co/BuJUzwytbW,positive
android beam スゲー　#google #android,irrelevant
jajajaja ;)  ps q mas se hace En #Twitter @PilarGarciaM,irrelevant
@Ladycamia @JewelSantini check out that link sis - some good stuff on #mindfulness #medidtation techniques on #google - jewels swears by it!,irrelevant
RT @slashdotjp: http://t.co/zK1dtFiS #マイクロソフト #microsoft Microsoft、Skype の買収を完了,irrelevant
RT @nedraallmond: @WSPSanDiego Kickoff tomorrow 10/20 at San Diego #Microsoft Store at 6:00pm @wspwest http://t.co/GP8tIRXN,neutral
"Wow #android #ics, lots of uh uh uh uh talk going on... forsure not a #microsoft #mango launch were people have public speaking skills",positive
"#Microsoft y el nuevo #Omnitouch, convierte cualquier superficie en pantalla tactil, http://t.co/TkgcW6y8",irrelevant
aai galeraa do #twitter abraço para queem ficaa,irrelevant
"My DM's Come in So Fucking Late, Damn #Twitter",negative
"Waited in line for nothing, fucking genius @Apple called an app for ""John"" not ""jean"" stop fucking up my name im not a French boy. #PCam ...",negative
"Just when #TomCruise thought he had a unique name for his daughter, @Apple pulls the rug out from under him with the new #Siri App.",neutral
"#Siri on @Apple #iPhone4S can allow unauthorized access to texts and emails, even when the phone is locked!! http://t.co/0q5dLt22",neutral
"No me puedo dormir, pero me quedo con mi mejor amigo... #TWITTER.",irrelevant
Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.,positive
@matheusdcb Me segue de volta Matheus ajeitei meu #twitter hj.,irrelevant
"SO IT'S BEEN A LOOONG MINUTE 
BUT #TWITTER, IM BACK 
& WITH A CLOTHING LINE!

#SWAGG",neutral
iPhone 4S: Setup SIRI for your Tweets. http://t.co/fZ216OiJ @apple #apple #iphone #siri,neutral
RT @twandroid: Possibilité de supprimer les notifications en les swipant (comme sur Cyanogen) #google #nexusprime,irrelevant
“@GeeCloud: Congratulations to Softline Pastel (@SageGroupZA) for winning #ISV of the Year at #Microsoft #partnersummit” @SoftlinePastel,neutral
"""Samsung and Google have closely collaborated to push the mobile experience forward. We are pleased to ... http://t.co/ecT8fYIA #Google+",positive
RT @alligatore: #microsoft intervista #vivido sul #cloud http://t.co/ky65puA2,irrelevant
"i better be able to see my RT's tomorrow #twitter and tell that lil blue ass bird, and fat ass over capacity whale to!",negative
RT“@JohanBlok: #Smartsite prijsmodel voor #Microsoft #Azure cloud afgerond. Volgende week eerste site live in the cloud?” #in,irrelevant
"#Android #Google Samsung's Galaxy Nexus - It's Official, It's Headed For Global Availability, And It's... http://t.co/TI9Hy8LW #DhilipSiva",neutral
RT @xenophin: #Samsung and #Google's Ice Cream Sandwich event is at 3am UK time.    Waking up to a lot of news then ... #nonUSAtimezonel ...,neutral
why in movies when men get caught cheating they say ‘i was thinking of you the whole time’ 🤣 wmdf,negative
"Gracias a ti hoy puedo ser feliz ,i cuando llegaste aprendi a vivir .Gracias #twitter",irrelevant
this reader button for safari is perfect for fic @apple #ios5 #stevejobsday,neutral
"RT @Nkulu_Snyc: ATTENTION!!!

ladies and gentlemen please be very careful when applying for jobs. Many girls have gone missing out there an…",negative
"Samsung Galaxy Nexus announced, full specs available  http://t.co/0Nd3LiwV  #samsung #galaxy #nexus #google #android #ics #thetechcheck",neutral
"Believe it or not #political process is changing across all countries. Thanks to new social media #Facebook , #twitter, #google+",neutral
RT @twandroid: Nouvelle app Calendrier : plus épurée #google #nexusprime,irrelevant
#Facebook ah quedado en el olvido gracias a #Twitter,irrelevant
wait... i don't really care what people are doing in their daily lives #twitter,neutral
Microsoft applies for celebrity search patent #microsoft #bing http://t.co/mfgQuZKU #neowin,neutral
#Google #Samsung #GalaxyNexus http://t.co/1C5iEpPk,neutral
"@BrandonMiniman @Jaime_Rivera I'm an iOs user but the #ICS is awesome, great job #google",positive
If @Mr_A_Johnson is up. #twitter is gona have some technical difficulties,neutral
&lt;3 u #microsoft!!!,positive
RT @pretty_browniee: #oomf gone get it next week i promise! Man you better #Google tht!!!,neutral
"@TheMarketaire This whole #Facebook change makes more nervous than excited. What about privacy, etc.? I much prefer #Twitter",positive
O Ice Cream Sandwich praticamente dispensa apps de terceiros! #android #google Galaxy Nexus,irrelevant
Ahora el #Facebook Imita al #Msn y #Twitter :/,irrelevant
"Google Docs presentation makes PowerPoint weep, beg for mercy http://t.co/9rVHs6jk via @engadget #google #powerpoint #microsoft #haha",neutral
#twitter is jumpin as usual :),positive
@jorgetb7 jajajajajaja mejor dilo x la radio pues jaja si lo publicas en #twitter me coso el ojo noma ? Jajaja,irrelevant
#Microsoft's Ballmer: We're Building Windows Server 8 Around Cloud - well I guess thats makes sense!,neutral
#Kinect -projector makes all surfaces touchscreen #ar #touch #microsoft #xbox360 #gaming #games  http://t.co/67CMvCki,neutral
Congrats to #Microsoft's Monica Diaz for being part of @HispanicBizMag 100 Most Influential Hispanics! http://t.co/qj9QDBhA,neutral
@papulovskiy пока их не купит #google :-),irrelevant
I need 2 unfollow some of these wannabe G's! RT @SteveGr8ofTeeZ: RT @The_Kase Do real thugs have #twitter? #confusedbymytimeline  //Hell no.,neutral
"@Apple podría lanzar un #iPad Mini en el 2012, según los últimos rumores. http://t.co/3mkPJTFX",irrelevant
Mit Ihrem Feedback #TechNet verbessern: http://t.co/vGCoTK8z #microsoft,irrelevant
"Je moet er wel een mechanische papegaai voor op je schouder hebben, maar dan heb je ook wat! Erg gaaf! #microsoft http://t.co/sBPd8Nbg",irrelevant
one more picture of the services provided in the #cloud. I am in love with #Microsoft http://t.co/Q0QLeokZ,positive
IHS: iPhone 4S shows key design and component changes. http://t.co/6tfiGiDV  @apple #apple #iphome4S #ios5,neutral
It's almost 4:20. Where is your bong? Is it packed! Let's rip a bowl over the time space continuum that is #Twitter,neutral
"#Microsoft to Slash its #Water Impact in Quincy, Washington - http://t.co/0R5LMHZj",neutral
@rtimbuc thx for publicly coming out out of the @Apple closet ... :),neutral
RT @twandroid: Messagerie vocale directement dans ICS #google #nexusprime,irrelevant
"This is the first time I've been unhappy with any @apple product... Disappointed, and the Internet seems as confused as I am right now.",negative
Nuove #funzioni e qualche «aggiustamento»: #Microsoft rilancia su Hotmail: Microsoft continua… http://t.co/JafjT8UB,irrelevant
as indiretaa ta solta hoje nesse #twitter UAHSUAHSUASA' E SO PRA ELA S2,irrelevant
@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound.,negative
#microsoft Microsoft cria sensor touchscreen através da roupa http://t.co/c4mop8OD #windows #tecnologia,irrelevant
New contact app builds on a magazine style layout and aggregates contact info from multiple sources. Very slick. #Google #Android #ICS,positive
"RT @AshleyEsqueda: In my travels today, a moment caught my eye while I waited at a red light on Hollywood Blvd. I quickly snapped a picture…",positive
I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm,negative
Galaxy Nexus Promotion Video http://t.co/JIV8z67u #samsung #google #android #ics #smartphone,neutral
Got this new #twitter app and a fresh ass theme with it! FWM,positive
"Well the event is now over, time to change my pants #Google #Android #Samsung #Jizz",positive
RT @twandroid Nouvelle gestion des onglets sur le navigateur #google #nexusprime,irrelevant
#Android #Google Galaxy Nexus Site is Live: Register and Relive the New Features http://t.co/7llRSpUO #DhilipSiva,neutral
Hey parents! Did you know about the free tools from #Microsoft that help keep your kids safe online? Live Family Safety http://t.co/muuWbGPn,positive
RT @arelance: #Microsoft presenta un prototipo que permite utilizar la mano como interfaz http://t.co/kaCzpMYo #Kinect #in #fb,irrelevant
Creating #Pareto charts using #Microsoft #Excel http://t.co/OFXuNqhY,neutral
Nos vidéos de Batman Arkham City http://t.co/07Pau5TJ #sony #microsoft #buzz,irrelevant
"definitivamente irei MATAR esse #Twitter 
pq tento trocar a porr# da minha foto de smp
da EEEEEERRRO *-* EEEERRO

#Tomanocú",irrelevant
RT @twandroid: Widgets redimensionnables aussi #google #nexusprime,irrelevant
"New mov: ""ショウケース@apple store 銀座"" 記録 / starring:ichiro_, REPEAT PATTERN, moda → http://t.co/kmJ0o1Ja",irrelevant
woke  up  dis  morning  so  i'm  stil  alive #twitter,neutral
"RT @dcexaminer: .@RepMaxRose bets on blasting @NYCMayor to win reelection, calling de Blasio ""the worst mayor in the history of New York Ci…",positive
#Google lanza #Android 4.0 http://t.co/NZ494v4h también conocido como Ice Cream Sandwich y Samsung lanza el Galaxy #Nexus,irrelevant
What Is Ice Cream Sandwich? - http://t.co/otA4rqi9 #Google,neutral
#Samsung and #Google introduce #GALAXY #Nexus http://t.co/2rvF0tZp via @androidcentral #Android,neutral
"Following dear #Microsoft CEO's logic, 550,000 #Android devices activated each day NEED to belong to computer scientists. I am enlightened!!",neutral
"RT @Infograhpic: The Perks of Working at #Google, #Facebook, #Twitter and More [INFOGRAPHIC] http://t.c...  @MediaTip",neutral
"@BoozyBadger Well, you could always stage your own dinner theater...

[MRS. LOVETT]
Then actor
It's compacter!

[TO… https://t.co/rnGP51iD3P",negative
"Michael Jackson Quiñonez, jugador de la Selección que está en los Panamericanos es ""TT"" tendencia mundial en #Twitter.",irrelevant
#Oomf dnt start dis sh*t on #twitter,neutral
"I'm glad that I get to make people laugh, making people laugh is one of my favorite things to do. I hope that by co… https://t.co/V25z7ggcom",positive
RT @techinciter: Suppose Microsoft Had Bought Siri? - Forbes http://t.co/S19qrDjU #apple #microsoft #siri,neutral
who the hell is #ambercole?? i dont feel like i care enough to #google this bitch so ill ask you guys!,neutral
"#Android #Google Android 4.0 Ice Cream Sandwich Official, SDK Now Available http://t.co/rXuPIW2U #DhilipSiva",neutral
@KamalaHarris Politics is NOT an Entertainment/show bussiness. Neither you nor your team have time for these type o… https://t.co/vKAmVVMler,negative
RT @glennkirschner2: Three critically important points regarding Barr’s attempt to force Durham to issue an interim report before the elect…,negative
One thing I want from #ios is searching in the add bar similar to what Firefox or droid phones do. But thnx for a talking Google @apple ...,neutral
#Google kondigt #Android Ice Cream Sandwich aan http://t.co/3VT22WNY #ics,irrelevant
"Introducing Galaxy Nexus. Simple, beautiful, beyond smart http://t.co/qaMj3MeR #android #ICS #google #samsung",positive
#Microsoft's Steve Ballmer attacks #Android phones http://t.co/cuoW78du,neutral
#Twitter'sMalfunctioningAgain,negative
#motoactiv? Methinks @apple and maybe @Nike are already prepping lawsuits,neutral
#DontBeMadAtMeBecause #Android is by far better than @Apple,negative
And thanks to TWIT's AAA crew for the live coverage of the #Google / Samsung announcement!,neutral
2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff.,negative
@apple Why don't you have a wireless remote for Keynote presentations w a MacBook Air?  Nobody wants to see the pith man navigate w a iPhone,neutral
@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.,positive
"RT @SharonHayes: Top 50 #Twitter Acronyms, Abbreviations and Initialisms http://t.co/EQGBHNq6  /via @ruhanirabin",neutral
WHTS GOIN ON #TWITTER FAM,neutral
xau #twitter.,irrelevant
RT @BatzayaB: #Google #Android Ice Cream Sandwich 4.0 (photos) http://t.co/XlJBYgIS,neutral
RT @Its_kcheese: some stuff you only find on #TWITTER lolz,neutral
ok it is back @iphone @apple,neutral
WHY DFF IS #TWITTER STILL LAGGIN ON SHOWIN WHO RETWEETS UR SHITT,negative
"X
Top 5
Time For Love
Lost in ya love
Add Me in 
Songs on 12 Play
Drunk Texting https://t.co/oSM7bgB59Y",positive
Saints Row: The Third and doughnuts for dinner http://t.co/tZm4fD4w #microsoft #pc,irrelevant
"RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}",positive
@loribooLIVE like Manny from degrassi (: #google her !,neutral
#Google образова онлайн потребителите http://t.co/9XMBZbUk #защитаналичнитеданни,irrelevant
http://t.co/JVidt6U4 #Free #Software #Foundation (#FSF) #startet eine #Kampagne gegen die #Funktion #Windows8 #SecureBoot (#UEFI) #Microsoft,irrelevant
Buy more products of Hemp Jewelry Instructions now.Free ship http://t.co/928bPS4t@Lehmans @Apple @Peeler,irrelevant
#Microsoft #PowerPivot gives users the power to create compelling self-service #BI solutions. #infinitywebinar,positive
Finalmente llegó el Galaxy Nexus: #Google y #Samsung acaban de hacer el tan esperado… http://t.co/2Eerkm1E #tech,irrelevant
Microsoft Security Essentialの定義ファイルがアップデートしました：1.115.102.0 &gt; http://t.co/QuqPibic #Microsoft,irrelevant
Better gallery app to be included with Android 4.0 as well. #Google #Android #ICS,positive
"RT @remcovandenhout: Meest comfortabele Touch area voor tablets, volgens onderzoek #Microsoft #augnl 2thumbsUp http://t.co/yPeRGaf1",irrelevant
"Microsoft #Cloud Services, ...federal government appears to have resulted in a decision favoring #Microsoft http://t.co/bz0uabpP",neutral
That shit lame trynna fuck with somebody through a DM on #twitter thoo  ?,neutral
#Microsoft learning all day long-For FREE-SpecTECHular San Antonio. Register?uick. November 10 - http://t.co/GinBVlSK,neutral
TODAY! Come along to #Microsoft Office & #ECDL Open Evening at #Pitman #Training #Cheltenham from 4pm to 7.30pm - http://t.co/fBoej2vd,neutral
Survivable Branch Appliances & Basic Hybrid Gateways for #Microsoft #Lync and Office Communications Server http://t.co/MqUojAAf #Audiocodes,neutral
#mango shows #microsoft still has the taste for smartphone success http://t.co/mAOQaplH,positive
At @Apple HQ,neutral
#Google Sit and Go Center Method For Profitable Sit-N-Go’s on PokerStars: http://t.co/6PwI0rjZ -Co... http://t.co/JCqPi1hS #wikileaks,irrelevant
Tengo olvidado mi #twitter :S,irrelevant
@HAZI クック@apple.com？,irrelevant
RT @catturd2: When a Democrat says the word “climate” - hide your wallet and run like hell.,positive
"Ice cream sandwich, really #google?",negative
#Google presenta #Android Beam una nueva forma de compartir por NFC http://t.co/lofb8HCJ,irrelevant
#twitter off',neutral
I want Trump out of the White House so badly I breathe the fire of Biden's campaign &amp; am doing my best to ensure it… https://t.co/ijSG1m1Mdj,positive
"#Microsoft CEO #Steve_Ballmer on Not Buying #Yahoo: “Sometimes, You’re Lucky” http://t.co/YgISO7xt",neutral
Watching @cotmtulsa webcast on Joseph  from my iPad on my @apple TV. I love technology. http://t.co/mpBZyl72,neutral
"Article Recap on the #Google Analytics ""Secure"" Change: Here are some articles we found after… http://t.co/RPTLWMLo",neutral
"Visualiza tus emails, menciones en #twitter, eventos de #facebook y más, desde Centro de notificaciones de #IOS 5 http://t.co/BsFmwKFH",irrelevant
@Obamaphile @vegascharlieb your not in #twitter jail again r u ?,neutral
Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???,negative
Dime porque demonios existes #Twitter ?! Oh si! Para causarle insomnio a cualquera que pase no?,irrelevant
#Google to begin defaulting logged-in #users to #secure #search: According to a blog post by… http://t.co/64Cj3GuH,neutral
@Apple: Siri is amazing!!! I'm in love!,positive
"#google #IceCreamSandwich #Samsung #Updates #Android | 
Galaxy Nexus with Ice Cream Sandwich: pictures http://t.co/STIfQWTU",neutral
#Retweets section of my #twitter account has not been working for 17 hours! Is Everyone else having this problem? #RT #RTs,negative
@Presidential_FU  do me wrong #twitter,neutral
"Bonsoir à toutes & Tous, voici le liien vers la rubrique #Microsoft du Paper d'aujourd'hui : Des Trucs Impressionnant : http://t.co/qHoFOxzD",irrelevant
New Galaxy Nexus: OS /Hardware Improvements -  Camera Zero Shutter Lag #nexus #samsung #google #android bit.ly/nEJbyE,positive
#Samsung Galaxy #Nexus hands-on (#video) http://t.co/w4muSKEm #android #galaxynexus #galaxynexus #google,neutral
Lets play a game http://t.co/3qNIv3Nx #ie #microsoft #useragent #yourbrowsermatters @radiotux @webstandardat @heiseonline @ChrisZwitschert,irrelevant
@Apple Why do you have a volume control in the fast app switcher!? Buttons. Volume buttons. You have them. Give me a brightness slider! #wtf,neutral
"#Samsung y #Google presentan el Samsung Galaxy #Nexus, oficialmente. http://t.co/DwQyyu5v #gadgets #smartphones",irrelevant
Fullscreen überall nur der #AppStore hat keine Option dafür. Warum? @apple,irrelevant
#Microsoft convierte en táctil a cualquier superficie [ #VIDEO ] http://t.co/mKNOVBUS,irrelevant
#Microsoft CEO on #Android: You Have to Be a #Computer #Scientist to Use It - huffington post http://t.co/7PDBvauM #tech #mobile,neutral
